Trial	Temperature	ISI	Rating	X1	Y1	X2	Y2	Lasershot1	Lasershot2	Experiment	Subject	Unnamed: 12	Unnamed: 13	temp_65
15	55.9	1.0	93	36	40	36	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
16	49.7	1.0	79	48	0	48	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
17	53.8	1.0	0	24	0	24	10	-99	0	Calibration_part2	es23	n/a	n/a	50.7
18	54.9	1.0	91	48	40	48	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
19	49.7	1.0	83	24	40	24	50	1	1	Calibration_part2	es23	n/a	n/a	50.7
20	47.6	1.0	17	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	50.7
1	48.1	1.0	55	12	20	12	30	1	1	Calibration_part2	es23	n/a	n/a	48.2
2	46.8	1.0	67	36	20	36	30	1	1	Calibration_part2	es23	n/a	n/a	48.2
3	51.9	1.0	57	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
4	48.7	1.0	77	36	0	36	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
5	51.3	1.0	80	48	40	48	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
6	46.8	1.0	83	12	40	12	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
7	47.5	1.0	52	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
8	47.5	1.0	60	36	20	36	30	1	1	Calibration_part2	es23	n/a	n/a	48.2
9	49.4	1.0	54	12	20	12	30	1	1	Calibration_part2	es23	n/a	n/a	48.2
10	50.0	1.0	77	48	20	48	30	1	1	Calibration_part2	es23	n/a	n/a	48.2
11	50.0	1.0	79	0	40	0	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
12	51.9	1.0	89	36	0	36	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
13	51.3	1.0	77	0	0	0	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
14	49.4	1.0	65	12	40	12	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
15	50.6	1.0	89	36	40	36	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
16	46.2	1.0	54	48	0	48	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
17	48.7	1.0	64	24	0	24	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
18	46.2	1.0	53	48	40	48	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
19	50.6	1.0	78	24	40	24	50	1	1	Calibration_part2	es23	n/a	n/a	48.2
20	48.1	1.0	55	12	0	12	10	1	1	Calibration_part2	es23	n/a	n/a	48.2
